103,17,1,36,53,11,3,12,48,17,43,94,68,197,68,219,54,18,57,23,34,51,4,15,19,53,1,1,1,17,3,1,1,28,42,34,249,10,23,14,17,16
304,11,13,91,144,24,18,40,125,44,278,297,203,437,293,415,208,33,140,40,41,191,10,45,51,108,8,0,0,73,10,5,4,97,87,110,641,23,79,29,72,21
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
133,16,1,58,70,10,12,32,63,19,73,153,66,257,105,288,103,17,70,33,45,89,4,7,41,52,4,0,4,31,2,3,4,34,62,26,386,3,42,23,39,12
166,11,3,81,58,21,13,27,60,35,140,195,117,248,177,293,121,15,75,53,54,84,6,26,38,69,6,2,7,29,7,1,4,54,66,56,374,15,39,24,48,14
1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0
104,12,1,30,39,8,4,19,32,9,61,93,73,140,88,166,63,11,44,22,40,50,2,11,16,35,6,0,4,37,4,4,4,25,45,13,219,6,22,23,14,14
176,13,5,69,62,22,5,28,63,18,121,132,124,210,161,217,75,23,55,30,25,106,4,23,39,81,4,0,0,35,4,2,3,50,51,60,291,15,54,17,36,10
90,9,1,37,32,6,1,15,31,14,41,95,33,150,42,182,60,12,58,24,23,55,1,10,24,26,3,0,3,32,2,1,3,23,35,13,218,8,30,8,19,7
60,8,2,15,25,3,4,3,17,8,71,53,52,65,92,73,40,9,23,14,17,45,3,14,12,28,2,0,1,6,2,1,1,19,20,30,111,3,13,7,13,2
79,10,2,36,32,7,6,11,21,8,50,82,71,104,94,112,57,13,35,26,31,45,5,17,25,26,3,0,2,17,3,1,7,21,26,29,184,4,26,7,27,0
0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,1,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
5,1,0,1,3,0,0,0,4,0,1,1,4,4,1,6,3,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,7,1,0,9,0,0,0,0,1
2,1,0,0,1,0,1,1,3,1,8,4,4,15,6,17,1,1,4,1,0,0,0,0,2,3,0,0,0,2,0,0,0,1,2,2,30,1,4,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,1,0,15,9,7,1,10,17,4,31,18,32,42,36,33,22,8,9,4,10,23,2,9,2,13,1,0,0,9,1,1,1,15,13,18,51,1,8,5,13,1
71,2,4,33,25,4,1,7,38,5,40,80,39,98,48,130,45,10,38,25,12,27,2,6,15,26,5,0,2,18,1,1,2,22,27,28,124,9,19,12,22,7
125,0,2,50,57,23,3,26,62,15,135,107,133,149,124,155,82,26,39,22,28,80,11,15,31,59,5,0,5,42,8,3,3,54,38,37,232,11,22,11,41,10
192,20,3,62,79,11,3,28,54,22,105,219,111,248,163,371,109,27,86,39,71,100,8,42,39,57,8,0,2,50,7,2,6,53,78,55,382,8,51,23,49,10
112,1,8,49,81,14,6,27,60,10,113,118,119,164,157,193,79,26,50,43,30,72,6,14,20,79,6,2,2,22,4,0,2,43,46,54,209,20,26,18,39,17
9,0,0,5,5,5,0,4,7,1,13,9,10,23,10,16,13,3,2,4,3,10,0,4,1,5,1,0,0,1,0,0,1,6,5,2,31,3,4,4,1,0
65,11,3,24,28,9,4,3,10,12,50,75,36,102,78,144,39,2,30,24,28,23,5,13,10,19,1,3,2,16,0,1,1,21,34,21,158,6,25,16,11,10
159,14,2,54,64,20,10,10,56,23,97,152,90,200,152,256,82,18,84,35,31,96,6,39,15,69,3,0,2,31,4,1,6,39,42,41,273,14,38,22,36,14
137,11,1,48,45,12,2,9,38,21,107,129,79,180,143,182,89,13,52,35,48,74,4,36,23,37,0,0,4,33,7,1,2,26,47,62,215,6,17,22,25,9
21,0,3,8,6,1,1,0,8,5,13,19,9,35,15,30,9,3,14,10,7,8,0,2,1,7,1,0,0,6,0,0,1,7,14,6,38,6,10,0,3,0
21,0,0,0,2,5,1,5,12,0,12,9,13,28,13,27,0,2,4,0,0,9,1,4,6,10,1,0,0,4,0,0,0,3,4,3,52,1,4,0,4,3
49,0,1,21,14,5,0,5,17,8,45,27,44,49,54,51,27,3,17,14,18,37,3,9,11,20,0,0,2,7,1,0,4,10,14,19,56,14,13,5,13,3
9,0,2,5,8,0,1,3,6,0,7,14,10,23,14,13,9,8,9,4,5,14,1,1,4,10,2,0,0,5,1,1,0,4,5,5,20,1,1,2,3,3
178,4,5,67,85,24,8,13,80,17,166,133,151,258,182,227,117,29,63,31,45,126,12,26,39,87,5,0,1,44,2,2,5,61,63,79,329,12,71,18,51,14
8,0,0,0,5,3,0,1,7,0,13,13,8,10,9,10,1,1,3,1,0,4,0,0,1,2,0,0,0,0,0,0,0,2,1,2,16,0,0,1,1,2
130,9,6,37,35,15,2,11,52,15,64,153,59,163,69,248,59,20,69,45,31,35,1,18,15,44,2,1,0,26,1,0,3,16,54,49,220,16,47,17,37,4
227,9,5,68,101,17,6,35,80,18,177,179,162,319,231,346,137,36,78,54,55,135,8,38,40,71,3,0,4,46,10,1,4,68,67,66,435,17,44,19,48,28
22,0,1,1,7,0,2,2,12,0,22,16,12,53,16,41,0,0,8,1,1,5,0,0,5,4,0,0,0,6,0,0,0,4,6,4,54,1,3,0,0,1
119,9,3,39,44,13,11,6,42,17,112,153,68,184,136,232,72,10,60,38,46,42,4,37,32,46,10,0,4,35,1,1,3,43,35,44,255,8,37,30,23,8
246,18,4,77,85,17,14,10,125,20,173,209,132,345,215,320,168,46,107,42,32,123,2,38,39,76,6,0,5,52,7,8,8,71,64,94,492,12,56,23,59,15
12,4,1,5,3,3,0,1,15,3,18,23,15,33,25,30,11,7,6,5,7,14,1,2,7,4,1,0,1,3,1,0,0,8,7,4,29,1,4,3,3,2
272,23,6,82,102,29,8,27,109,29,195,250,221,392,314,434,158,48,113,54,79,158,11,56,55,94,6,1,6,54,8,2,11,87,104,89,463,26,65,36,69,21
151,12,5,51,69,18,5,26,71,17,103,137,83,238,158,236,91,30,66,25,57,87,4,24,22,81,4,1,1,40,7,4,6,41,56,41,306,8,47,23,31,12
0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0,1,10,15,4,0,6,17,6,17,35,13,43,30,70,26,4,22,8,6,32,1,5,8,13,2,1,1,11,0,0,1,12,19,10,90,10,12,5,10,5
8,0,0,2,1,0,0,2,2,0,0,8,3,9,1,5,5,0,2,1,0,6,0,1,1,2,0,0,0,2,0,0,0,0,0,2,8,0,5,1,1,0
23,0,1,9,18,3,1,5,11,3,21,25,29,41,35,32,18,3,15,7,4,14,0,4,3,10,0,0,2,4,2,1,0,6,10,12,51,3,9,6,6,3
0,0,0,0,2,0,0,0,1,0,1,1,4,1,3,1,3,2,1,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,4,1,0,0,0,0
250,21,6,101,105,23,23,22,97,43,187,208,177,431,290,385,170,32,104,48,87,171,10,41,65,110,4,1,3,60,2,7,4,92,86,88,549,22,58,30,63,20
7,1,0,0,2,0,0,2,3,0,0,3,6,4,4,10,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,9,0,0,0,0,0
133,15,4,40,44,17,6,15,50,13,77,140,70,212,99,252,67,21,69,30,36,49,4,19,25,37,6,0,1,30,4,1,1,41,46,29,289,10,38,15,30,10
215,19,3,71,81,24,15,26,89,17,188,206,122,314,222,354,120,26,97,58,43,112,4,54,38,77,7,0,0,36,4,1,5,59,61,97,342,13,57,21,41,11
50,0,4,24,23,8,3,10,24,6,68,43,56,60,58,81,33,10,33,9,12,35,2,16,12,24,2,0,2,4,5,1,2,25,19,26,118,8,11,7,19,3
0,0,0,1,0,0,0,0,3,1,1,2,1,8,2,2,2,2,0,0,0,2,0,1,0,0,2,0,0,0,0,0,0,2,0,0,7,2,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
